date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,36,59,38,36.3,58.09,9.583,15
2025-10-13T00:00:00.000Z,36,73,49,44,53,7.768,94
2025-10-14T00:00:00.000Z,40,102,74,47,92,19.561,91
2025-10-15T00:00:00.000Z,70,266,114.5,81,132.5,42.546,88
2025-10-16T00:00:00.000Z,79.52,172,138,90,146,27.58,83
2025-10-17T00:00:00.000Z,104,221,129,123,145,25.883,79
2025-10-18T00:00:00.000Z,103,207,147,135,170,25.952,77
2025-10-19T00:00:00.000Z,113,308,180,146.5,252.5,56.567,96
2025-10-20T00:00:00.000Z,0.05,343,176,119,240,73.569,67
2025-10-21T00:00:00.000Z,0.04,573,196.68,126.23,240.34,106.728,80
2025-10-22T00:00:00.000Z,97.32,271,206.36,135.43,239.48,55.309,89
2025-10-23T00:00:00.000Z,79,154,135,115,141,20.133,94
2025-10-24T00:00:00.000Z,74,146,120.7,96,135,21.877,85
2025-10-25T00:00:00.000Z,87,246,154.5,117,179.96,38.537,91
2025-10-26T00:00:00.000Z,74,214,172.38,143,189.07,40.054,36
2025-10-27T00:00:00.000Z,121,284,173,149,216,42.617,89
2025-10-28T00:00:00.000Z,104,230,161,128,171,31.53,83
2025-10-29T00:00:00.000Z,118,266,221,171,250,41.984,95
2025-10-30T00:00:00.000Z,90,368,146,125,267,80.867,86
2025-10-31T00:00:00.000Z,88,164,124,105,146,23.462,91
2025-11-01T00:00:00.000Z,127.5,366,262,190,305,72.096,90
2025-11-02T00:00:00.000Z,101,347,162,140.91,258,71.318,91
2025-11-03T00:00:00.000Z,72,201,145,94.42,162,39.347,53
2025-11-04T00:00:00.000Z,60,209,112,74,135,42.694,72
2025-11-05T00:00:00.000Z,57,367,158,80,257,91.667,95
2025-11-06T00:00:00.000Z,62,513,121,84,374,163.736,65
2025-11-07T00:00:00.000Z,97,381,170,134,266,82.277,54
2025-11-08T00:00:00.000Z,144.75,401,252,215,285,60.702,82
2025-11-09T00:00:00.000Z,93,343,200,141,297,76.505,89
2025-11-10T00:00:00.000Z,206,466,327,309,387,62.379,66
2025-11-11T00:00:00.000Z,0.04,466,255,195,425.27,136.069,41
2025-11-12T00:00:00.000Z,0.05,392,262.95,221,332,87.378,42
2025-11-13T00:00:00.000Z,228,402,267,257.64,353.88,53.02,94
2025-11-14T00:00:00.000Z,185,326,242,195.45,275,41.402,85
2025-11-15T00:00:00.000Z,139,331,268,194,299,55.108,91
2025-11-16T00:00:00.000Z,109.29,307,237.71,144,270.82,66.105,92
2025-11-17T00:00:00.000Z,15.67,265,188.78,141.09,231,52.423,76
2025-11-18T00:00:00.000Z,147.62,345,269,232,285.59,45.782,53
2025-11-19T00:00:00.000Z,155.96,380,316.61,220,335,66.839,42
