date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,73,92,78,73,81,5.973,14
2025-10-13T00:00:00.000Z,31,132,86,48,105,29.071,94
2025-10-14T00:00:00.000Z,41,206,100,50,106,41.527,95
2025-10-15T00:00:00.000Z,51,211,113,62,136,45.303,87
2025-10-16T00:00:00.000Z,57,178,121,84,132,33.808,90
2025-10-17T00:00:00.000Z,69,172,130,89,149,32.195,89
2025-10-18T00:00:00.000Z,62,196,163,112,173,38.242,75
2025-10-19T00:00:00.000Z,99,389,204,139.5,288,85.128,96
2025-10-20T00:00:00.000Z,85,1889,254,110,300,521.921,77
2025-10-21T00:00:00.000Z,72,1252,261,130,364,199.576,85
2025-10-22T00:00:00.000Z,99,335,217,167.5,250,69.419,89
2025-10-23T00:00:00.000Z,83,245,172,143,182,43.236,93
2025-10-24T00:00:00.000Z,56,153,117,110,129,23.94,86
2025-10-25T00:00:00.000Z,100,412,173,134,202,65.099,91
2025-10-26T00:00:00.000Z,84,196,174,140,193,33.807,36
2025-10-27T00:00:00.000Z,86,257,141,123,179,45.488,94
2025-10-28T00:00:00.000Z,55,283,135,105,173,54.206,82
2025-10-29T00:00:00.000Z,99,528,210,169,267,86.566,94
2025-10-30T00:00:00.000Z,69,359,116,89,290,94.812,86
2025-10-31T00:00:00.000Z,64,144,112,96,132,22.091,90
2025-11-01T00:00:00.000Z,113,333,218,195,239,57.139,90
2025-11-02T00:00:00.000Z,88,299,166,151,249,64.033,91
2025-11-03T00:00:00.000Z,102,331,151,149,218,62.653,55
2025-11-04T00:00:00.000Z,50,182,105,83,134,35.733,71
2025-11-05T00:00:00.000Z,45,338,126.5,69,189,79.697,94
2025-11-06T00:00:00.000Z,53,472,123,73,229,126.645,66
2025-11-07T00:00:00.000Z,74,472,228,122,365,126.878,55
2025-11-08T00:00:00.000Z,201,440,244,232,389,86.398,64
2025-11-09T00:00:00.000Z,78,414,238,151,350,109.153,89
2025-11-10T00:00:00.000Z,168,484,383,305,433,76.281,65
2025-11-11T00:00:00.000Z,132,534,401,259,448,123.23,54
2025-11-12T00:00:00.000Z,147,516,283,219.5,410,106.855,93
2025-11-13T00:00:00.000Z,193,395,262,230,367,68.46,94
2025-11-14T00:00:00.000Z,143,340,238,205.5,300,58.558,84
2025-11-15T00:00:00.000Z,127,428,238,173,342,94.664,89
2025-11-16T00:00:00.000Z,81,376,262,142,297,84.219,92
2025-11-17T00:00:00.000Z,97,334,185,150,224,58.282,77
2025-11-18T00:00:00.000Z,145,371,255,201,296,60.604,41
2025-11-19T00:00:00.000Z,155,486,346,322.5,404,71.028,32
