date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,64,78,69,67,78,5.119,14
2025-10-13T00:00:00.000Z,39,99,75,54,81,17.326,93
2025-10-14T00:00:00.000Z,38,125,78,57.5,96,24.176,89
2025-10-15T00:00:00.000Z,48,161,101,70,122,32.048,83
2025-10-16T00:00:00.000Z,56,155,107.5,68.5,125,31.209,96
2025-10-17T00:00:00.000Z,69,136,99,84,116,20.527,89
2025-10-18T00:00:00.000Z,80,218,124,102,173,39.67,78
2025-10-19T00:00:00.000Z,107,343,153,134,250,78.72,94
2025-10-20T00:00:00.000Z,89,1806,238,106,867,574.58,90
2025-10-21T00:00:00.000Z,85,519,229,117,313,110.138,79
2025-10-22T00:00:00.000Z,103,291,177,147,235,58.74,83
2025-10-23T00:00:00.000Z,70,224,134,114,164,43.052,85
2025-10-24T00:00:00.000Z,66,226,128,85,149,43.059,73
2025-10-25T00:00:00.000Z,63,230,138,108,212,50.786,83
2025-10-26T00:00:00.000Z,53,273,169,112,226,68.106,34
2025-10-27T00:00:00.000Z,90,151,122,110,139,18.476,64
2025-10-28T00:00:00.000Z,73,237,124,88,161,40.891,82
2025-10-29T00:00:00.000Z,84,331,183,138,228,58.833,95
2025-10-30T00:00:00.000Z,81,374,104,95,228,94.044,86
2025-10-31T00:00:00.000Z,63,138,101.5,85,122,21.852,76
2025-11-01T00:00:00.000Z,108,357,216,161,255,67.463,89
2025-11-02T00:00:00.000Z,85,302,140,127,239,69.953,90
2025-11-03T00:00:00.000Z,66,215,138.5,85,161,41.796,54
2025-11-04T00:00:00.000Z,47,174,88,77,128,33.728,71
2025-11-05T00:00:00.000Z,41,304,124,61,199,76.755,92
2025-11-06T00:00:00.000Z,55,448,110,72,339.5,142.539,65
2025-11-07T00:00:00.000Z,90,404,157,132,262,86.372,55
2025-11-08T00:00:00.000Z,160,394,245,210,322,67.091,82
2025-11-09T00:00:00.000Z,80,333,182,118,294,84.917,89
2025-11-10T00:00:00.000Z,166,353,305,266.5,327,46.403,33
2025-11-11T00:00:00.000Z,145,523,227,163,469,133.011,35
2025-11-12T00:00:00.000Z,138,503,285,208.5,378,115.386,92
2025-11-13T00:00:00.000Z,211,367,238,227,306,53.825,94
2025-11-14T00:00:00.000Z,163,313,228,177,254,42.207,84
2025-11-15T00:00:00.000Z,133,321,268,234,300,56.143,86
2025-11-16T00:00:00.000Z,91,299,230,140.5,259,64.113,93
2025-11-17T00:00:00.000Z,105,265,204,153,239,52.828,76
2025-11-18T00:00:00.000Z,141,323,277,233,290.5,43.133,52
2025-11-19T00:00:00.000Z,138,381,316,226,354,86.274,43
