date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,58.9,70.9,66.2,58.9,70.6,5.456,12
2025-10-13T00:00:00.000Z,53.6,88.1,62.7,59.5,75.09,9.439,74
2025-10-14T00:00:00.000Z,31.1,78.7,60.5,52.1,70.65,12.785,60
2025-10-15T00:00:00.000Z,13.3,114.7,72.2,57.7,81,20.812,62
2025-10-16T00:00:00.000Z,56.8,101.2,76.7,72.8,82.8,10.92,83
2025-10-17T00:00:00.000Z,62.8,105.8,89.5,78.2,96.8,12.092,87
2025-10-18T00:00:00.000Z,71.8,118.2,97.2,88.7,103.7,11.481,65
2025-10-19T00:00:00.000Z,69.7,153.2,103.5,88.5,111.4,20.694,74
2025-10-20T00:00:00.000Z,61.1,909.4,120,88.4,171.4,228.213,65
2025-10-21T00:00:00.000Z,46,980.7,87.8,61,126.6,274.746,47
2025-10-22T00:00:00.000Z,65.7,191.2,121.25,93.95,144.5,31.276,56
2025-10-23T00:00:00.000Z,39.5,125.2,88.3,67.4,106.9,21.373,74
2025-10-24T00:00:00.000Z,48.1,110.1,77.55,68.2,94.4,16.481,76
2025-10-25T00:00:00.000Z,85.1,177.7,112.9,102.2,126.75,24.484,88
2025-10-26T00:00:00.000Z,57,153.2,120.7,112.2,128.69,24.569,35
2025-10-27T00:00:00.000Z,79.4,176.5,109.3,98.9,121,20.962,90
2025-10-28T00:00:00.000Z,53.6,126.7,100.05,84.2,111.4,16.958,54
2025-10-29T00:00:00.000Z,53.6,170.2,135,86.8,152.2,35.05,58
2025-10-30T00:00:00.000Z,42.2,209.3,89.3,70.2,161.1,51.928,53
2025-10-31T00:00:00.000Z,42.2,88.5,63.9,55,70.9,11.641,79
2025-11-01T00:00:00.000Z,48.6,238.7,152,118.9,190,53.326,88
2025-11-02T00:00:00.000Z,46.9,163.5,90.1,80.1,125.4,30.808,86
2025-11-03T00:00:00.000Z,0.9,96.6,77.59,58.4,82.4,27.874,43
2025-11-04T00:00:00.000Z,26.4,102.9,58.5,43.6,70.8,18.328,46
2025-11-05T00:00:00.000Z,17.3,156.6,54.8,31.8,126.2,46.566,71
2025-11-06T00:00:00.000Z,32.9,230,107.3,59.3,175.05,62.571,53
2025-11-07T00:00:00.000Z,57.3,242.3,92.5,61.5,109.3,48.787,40
2025-11-08T00:00:00.000Z,97.9,193.8,146.4,110.3,172.25,32.148,80
2025-11-09T00:00:00.000Z,44.2,175.1,103.65,84.1,161.8,42.494,82
2025-11-10T00:00:00.000Z,1.5,221.1,165.8,162,192.1,32.231,60
2025-11-11T00:00:00.000Z,50.7,249.4,153.3,111.2,204.3,53.391,35
2025-11-12T00:00:00.000Z,116.7,272.4,116.7,116.7,160.8,50.442,74
2025-11-13T00:00:00.000Z,54.5,145.4,118.7,116.7,136.75,15.786,80
2025-11-14T00:00:00.000Z,16,139.8,96.05,68.9,116.95,31.828,72
2025-11-15T00:00:00.000Z,69.2,136.1,102.8,88.6,112.2,14.556,73
2025-11-16T00:00:00.000Z,56.4,134.9,102.1,83.4,111.2,18.69,51
2025-11-17T00:00:00.000Z,56.4,117.4,95.1,73.5,106.6,16.87,54
2025-11-18T00:00:00.000Z,58.4,130.4,104.5,83.3,121.7,22.589,35
2025-11-19T00:00:00.000Z,104.2,147.2,122,116.25,141.4,13.956,29
