date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,70,77,72,70,77,2.814,14
2025-10-13T00:00:00.000Z,36,139,99,62,132,34.208,94
2025-10-14T00:00:00.000Z,34,182,95,55,132,39.351,95
2025-10-15T00:00:00.000Z,41,205,149,50,177,58.395,89
2025-10-16T00:00:00.000Z,56,218,110,78,146,52.972,92
2025-10-17T00:00:00.000Z,66,212,149,99,161,43.966,82
2025-10-18T00:00:00.000Z,75,199,174,100,182,42.232,73
2025-10-19T00:00:00.000Z,91,423,191,121,299,113.138,96
2025-10-20T00:00:00.000Z,86,1703,255,131,404.5,457.545,81
2025-10-21T00:00:00.000Z,72,596,323,128,392,139.69,86
2025-10-22T00:00:00.000Z,90,299,189,164,228.5,59.429,89
2025-10-23T00:00:00.000Z,62,255,186,138,211,58.426,91
2025-10-24T00:00:00.000Z,48,210,135,97,177,48.402,86
2025-10-25T00:00:00.000Z,105,280,206,163,252,55.349,91
2025-10-26T00:00:00.000Z,94,378,275,227,289,64.53,34
2025-10-27T00:00:00.000Z,124,343,138,130,177,60.91,93
2025-10-28T00:00:00.000Z,99,268,147,118,180,39.188,82
2025-10-29T00:00:00.000Z,138,442,196,178,268,72.997,91
2025-10-30T00:00:00.000Z,81,370,165,124,327,106.198,72
2025-10-31T00:00:00.000Z,74,204,106,99,163,38.805,63
2025-11-01T00:00:00.000Z,119,469,280,239,323.5,72.02,65
2025-11-02T00:00:00.000Z,91,409,196,138,339,105.743,68
2025-11-03T00:00:00.000Z,155,295,229,195,262,40.802,41
2025-11-04T00:00:00.000Z,55,205,97,80,107,23.408,54
2025-11-05T00:00:00.000Z,40,434,112,58,313.5,127.976,69
2025-11-06T00:00:00.000Z,56,597,182,78.5,429,183.185,48
2025-11-07T00:00:00.000Z,83,613,227,97,322,167.468,40
2025-11-08T00:00:00.000Z,186,509,290,204,426,111.293,58
2025-11-09T00:00:00.000Z,75,494,300,150,364,134.181,65
2025-11-10T00:00:00.000Z,179,565,420,381,508,99.894,47
2025-11-11T00:00:00.000Z,143,710,510,291,573.5,167.77,40
2025-11-12T00:00:00.000Z,156,620,399,233.5,528.5,150.135,65
2025-11-13T00:00:00.000Z,149,603,349,206,398.5,121.27,64
2025-11-14T00:00:00.000Z,118,460,285,207,362,90.841,61
2025-11-15T00:00:00.000Z,119,508,313,208,439,124.291,65
2025-11-16T00:00:00.000Z,100,476,332,133,399,124.985,69
2025-11-17T00:00:00.000Z,97,428,234,180,332,100.296,58
2025-11-18T00:00:00.000Z,169,462,359,317,417,87.767,42
2025-11-19T00:00:00.000Z,160,565,467,199,521,150.001,43
