date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,72,78.3,74.5,72.9,77.7,2.303,14
2025-10-13T00:00:00.000Z,58.8,91.3,75.2,65.9,86.5,9.936,71
2025-10-14T00:00:00.000Z,40.2,213.7,83.1,46.35,140.6,48.815,76
2025-10-15T00:00:00.000Z,58.2,297.3,128.3,65.9,172.2,69.91,83
2025-10-16T00:00:00.000Z,79.2,126.4,96.7,86.2,111.1,15.091,38
2025-10-17T00:00:00.000Z,78.3,122.4,101.8,90,108.6,11.609,71
2025-10-18T00:00:00.000Z,81.3,324.6,125.5,96.5,217.7,75.706,59
2025-10-19T00:00:00.000Z,94.6,322.3,176,127.9,221.5,63.62,75
2025-10-20T00:00:00.000Z,81,1207.1,141.6,113.2,421.3,310.812,83
2025-10-21T00:00:00.000Z,121.8,330.1,269.1,149.75,286.5,68.918,73
2025-10-22T00:00:00.000Z,104.3,280.5,150,115.1,203.35,49.122,72
2025-10-23T00:00:00.000Z,95.5,189.4,135.65,114.45,164.6,29.925,76
2025-10-24T00:00:00.000Z,75.4,170.9,124.95,94.9,153.4,30.638,68
2025-10-25T00:00:00.000Z,95.8,215.2,149.1,102.9,185.9,40.016,63
2025-10-26T00:00:00.000Z,65.2,187.8,155.69,128.35,170.7,29.155,29
2025-10-27T00:00:00.000Z,77.9,150.8,124,115.6,131.8,19.797,82
2025-10-28T00:00:00.000Z,78.1,141.4,111.1,90.6,121.8,18.461,70
2025-10-29T00:00:00.000Z,113,283.4,197.7,168.1,217.2,37.932,70
2025-10-30T00:00:00.000Z,72.7,286.8,155.4,105.35,253.2,73.394,76
2025-10-31T00:00:00.000Z,22.1,91.5,66.2,30.9,68.5,18.899,52
2025-11-01T00:00:00.000Z,63.6,123.8,117.5,78.7,120,22.832,53
2025-11-02T00:00:00.000Z,112.9,151.4,120.75,117.6,132,11.547,68
2025-11-03T00:00:00.000Z,17.5,126.6,121.5,117,124.8,31.785,42
2025-11-04T00:00:00.000Z,82.1,128.2,88.15,85.9,91.35,10.567,60
2025-11-05T00:00:00.000Z,68.7,113.5,83.3,79.5,91.85,10.482,77
2025-11-06T00:00:00.000Z,69.2,78.2,73.59,71.5,76.09,2.698,52
2025-11-07T00:00:00.000Z,50.4,103.4,73,61.3,80.2,13.122,39
2025-11-08T00:00:00.000Z,51.5,154.3,70.7,61.3,95.4,27.342,69
2025-11-09T00:00:00.000Z,47.3,104.2,66.95,59.25,77,15.641,80
2025-11-10T00:00:00.000Z,49.3,119.8,63.9,58.1,85,19.512,65
2025-11-11T00:00:00.000Z,53.9,69.3,62.4,56.7,66.7,4.809,47
2025-11-12T00:00:00.000Z,48.4,103.5,69,54.2,78.9,15.338,58
2025-11-13T00:00:00.000Z,63.1,310.5,94.6,75.9,124.6,50.874,63
2025-11-14T00:00:00.000Z,86.5,508.6,136.6,118,181.6,74.461,66
2025-11-15T00:00:00.000Z,72.9,342.4,128.8,110.4,171.2,59.258,61
2025-11-16T00:00:00.000Z,75.5,222.2,128.8,101.7,156.4,35.825,63
2025-11-17T00:00:00.000Z,95,512.6,139.7,105.3,194,85.417,63
2025-11-18T00:00:00.000Z,65.4,338.6,135.7,101.3,215.1,83.303,49
2025-11-19T00:00:00.000Z,101.7,209.5,154.5,117,171.35,32.396,29
