date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,90,134,100,90,134,18.019,14
2025-10-13T00:00:00.000Z,51,150,92,68,129,33.347,94
2025-10-14T00:00:00.000Z,40,191,95,56,125,44.338,95
2025-10-15T00:00:00.000Z,48,219,128,59,173,54.786,89
2025-10-16T00:00:00.000Z,58,174,125,103,156,36.352,90
2025-10-17T00:00:00.000Z,79,490,143,100.5,168,75.346,89
2025-10-18T00:00:00.000Z,75,238,164,110,204,52.122,77
2025-10-19T00:00:00.000Z,95,653,196,153,457,183.767,96
2025-10-20T00:00:00.000Z,90,892,251,119,389.5,176.712,73
2025-10-21T00:00:00.000Z,77,504,274,122,396,146.438,86
2025-10-22T00:00:00.000Z,99,333,201,178,219,63.784,90
2025-10-23T00:00:00.000Z,66,250,179,144,207,53.661,93
2025-10-24T00:00:00.000Z,66,208,128,105,196,48.044,86
2025-10-25T00:00:00.000Z,119,269,216,167,256,53.255,90
2025-10-26T00:00:00.000Z,77,249,207,168,229,48.648,39
2025-10-27T00:00:00.000Z,117,269,156,147,195,42.743,94
2025-10-28T00:00:00.000Z,79,210,145,108,164,37.58,82
2025-10-29T00:00:00.000Z,138,356,202,182,274,61.848,94
2025-10-30T00:00:00.000Z,100,382,152,113,338,107.322,86
2025-10-31T00:00:00.000Z,77,202,119.5,102,155,33.26,90
2025-11-01T00:00:00.000Z,123,422,258.5,195,296,77.579,90
2025-11-02T00:00:00.000Z,94,427,195,168,328,103.601,90
2025-11-03T00:00:00.000Z,136,324,201,182,230,54.929,54
2025-11-04T00:00:00.000Z,45,180,91,77,118,27.177,71
2025-11-05T00:00:00.000Z,40,377,125,58,232,99.863,94
2025-11-06T00:00:00.000Z,55,567,163,74,288,136.152,65
2025-11-07T00:00:00.000Z,81,567,217,112,357,150.2,55
2025-11-08T00:00:00.000Z,168,532,243,194,409,119.102,82
2025-11-09T00:00:00.000Z,79,449,246,143,339,117.253,87
2025-11-10T00:00:00.000Z,175,576,464,373,511,119.018,41
2025-11-11T00:00:00.000Z,136,615,451,256,533,151.652,54
2025-11-12T00:00:00.000Z,157,578,349,241,480,125.149,92
2025-11-13T00:00:00.000Z,172,489,290,218,360,90.335,94
2025-11-14T00:00:00.000Z,135,394,282,217.5,333.5,78.235,85
2025-11-15T00:00:00.000Z,117,509,306,190,415,121.236,91
2025-11-16T00:00:00.000Z,83,444,300,132,385,121.612,92
2025-11-17T00:00:00.000Z,105,374,233,152,321,86.336,77
2025-11-18T00:00:00.000Z,158,455,346,279,421,83.472,53
2025-11-19T00:00:00.000Z,182,545,437,283,510,125.464,43
