date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,75,88,86,75,86,5.162,15
2025-10-13T00:00:00.000Z,50,146,100,67,130,32.04,90
2025-10-14T00:00:00.000Z,46,345,95,58.5,133,77.292,96
2025-10-15T00:00:00.000Z,52,593,145,57,204,138.904,88
2025-10-16T00:00:00.000Z,68,206,136,79,157,40.551,90
2025-10-17T00:00:00.000Z,81,172,140,103,156,30.545,90
2025-10-18T00:00:00.000Z,84,439,180,128.5,309.5,112.395,77
2025-10-19T00:00:00.000Z,96,532,210,121.5,293,115.612,96
2025-10-20T00:00:00.000Z,90,1390,227,133,637,426.174,88
2025-10-21T00:00:00.000Z,70,804,245,114,346,184.678,85
2025-10-22T00:00:00.000Z,106,372,205,162,262,72.535,89
2025-10-23T00:00:00.000Z,81,320,180,140,256,66.851,93
2025-10-24T00:00:00.000Z,55,262,153,118,212,63.861,86
2025-10-25T00:00:00.000Z,95,495,238,124,274,105.591,91
2025-10-26T00:00:00.000Z,70,324,238,207,284,64.518,38
2025-10-27T00:00:00.000Z,96,294,145,108,171,56.742,94
2025-10-28T00:00:00.000Z,83,239,145.5,107,202,48.492,80
2025-10-29T00:00:00.000Z,163,552,271,211,318,92.233,95
2025-10-30T00:00:00.000Z,89,411,124,96,324,114.452,86
2025-10-31T00:00:00.000Z,78,152,119,107,127,18.863,89
2025-11-01T00:00:00.000Z,116,359,263,206,310,69.759,90
2025-11-02T00:00:00.000Z,97,459,223,152,407,126.379,89
2025-11-03T00:00:00.000Z,156,412,241.5,204,298,71.36,52
2025-11-04T00:00:00.000Z,53,172,106,81,134,34.804,73
2025-11-05T00:00:00.000Z,51,343,138.5,64,199,79.943,94
2025-11-06T00:00:00.000Z,56,470,145,81,282,129.726,64
2025-11-07T00:00:00.000Z,103,462,262.5,167,387,116.628,46
2025-11-08T00:00:00.000Z,164,628,259,206,447,129.211,83
2025-11-09T00:00:00.000Z,80,455,232,140,310,121.477,76
2025-11-10T00:00:00.000Z,135,527,438,337,501,114.075,53
2025-11-11T00:00:00.000Z,133,577,435,249,554,158.637,52
2025-11-12T00:00:00.000Z,162,519,318,241,435,112.947,92
2025-11-13T00:00:00.000Z,177,488,316,233,364,94.562,94
2025-11-14T00:00:00.000Z,149,405,285,220,345,79.791,85
2025-11-15T00:00:00.000Z,124,475,327,208,385,107.164,91
2025-11-16T00:00:00.000Z,91,453,299,144,393,121.949,91
2025-11-17T00:00:00.000Z,113,401,243,158,339,95.85,77
2025-11-18T00:00:00.000Z,184,559,362,241,394.5,87.289,53
2025-11-19T00:00:00.000Z,156,696,420,278,466,160.169,43
