date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,44,47,45,44,47,1.294,14
2025-10-13T00:00:00.000Z,35,63,46,42,56,8.077,70
2025-10-14T00:00:00.000Z,28,75,38,35,45,11.41,95
2025-10-15T00:00:00.000Z,33,78,45,39,50,9.998,88
2025-10-16T00:00:00.000Z,36,74,55,46,58,10.488,96
2025-10-17T00:00:00.000Z,39,81,58,45,68,13.113,82
2025-10-18T00:00:00.000Z,41,95,52,48,64,14.94,77
2025-10-19T00:00:00.000Z,39,92,66,57,78,13.507,96
2025-10-20T00:00:00.000Z,40,1431,88,53,225,449.451,85
2025-10-21T00:00:00.000Z,78,1428,174,106,228,345.198,86
2025-10-22T00:00:00.000Z,80,265,132,112,221,58.411,89
2025-10-23T00:00:00.000Z,59,125,103,75,113,21.022,93
2025-10-24T00:00:00.000Z,55,103,86,77,94,13.487,82
2025-10-25T00:00:00.000Z,58,130,77,66,96,18.991,91
2025-10-26T00:00:00.000Z,51,97,70,66,79,13.849,36
2025-10-27T00:00:00.000Z,51,138,88,63,106,24.276,93
2025-10-28T00:00:00.000Z,52,111,85,62,100,20.695,82
2025-10-29T00:00:00.000Z,62,125,112,102,121,18.73,95
2025-10-30T00:00:00.000Z,42,188,84,66,117,37.491,86
2025-10-31T00:00:00.000Z,27,97,78.5,62,89,22.996,90
2025-11-01T00:00:00.000Z,72,293,190,107,210,62.62,90
2025-11-02T00:00:00.000Z,63,193,80,69,125,37.983,89
2025-11-03T00:00:00.000Z,35,103,69,48,80,19.133,53
2025-11-04T00:00:00.000Z,38,118,49,45,67,16.8,72
2025-11-05T00:00:00.000Z,46,309,63,58,216,89.15,90
2025-11-06T00:00:00.000Z,59,480,112,67,322,145.625,65
2025-11-07T00:00:00.000Z,74,294,143,103,222,70.994,55
2025-11-08T00:00:00.000Z,133,383,204,155,248,64.81,82
2025-11-09T00:00:00.000Z,78,307,147,106,252,73.589,89
2025-11-10T00:00:00.000Z,179,361,279,260,295,42.684,68
2025-11-11T00:00:00.000Z,136,490,334,163,368.5,107.844,53
2025-11-12T00:00:00.000Z,127,483,240,174.5,353,109.971,93
2025-11-13T00:00:00.000Z,190,393,219,206.5,313,57.421,92
2025-11-14T00:00:00.000Z,144,279,207,171,233,38.913,67
2025-11-15T00:00:00.000Z,140,306,227,169,256,51.537,91
2025-11-16T00:00:00.000Z,95,345,201,109,221,70.709,92
2025-11-17T00:00:00.000Z,74,218,152,115.5,185,42.281,77
2025-11-18T00:00:00.000Z,118,283,204,176.5,236.5,46.981,53
2025-11-19T00:00:00.000Z,146,296,239,163,287,55.336,43
