date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,74,79,75,75,79,1.927,14
2025-10-13T00:00:00.000Z,51,133,91,59,111,25.698,94
2025-10-14T00:00:00.000Z,51,169,91,57,101,27.605,95
2025-10-15T00:00:00.000Z,50,211,101,67,125,36.017,89
2025-10-16T00:00:00.000Z,72,172,121,100,134,27.2,90
2025-10-17T00:00:00.000Z,83,222,122,103.5,137,31.817,89
2025-10-18T00:00:00.000Z,84,282,152,121,185,43.552,77
2025-10-19T00:00:00.000Z,111,450,183,138,307.5,102.132,96
2025-10-20T00:00:00.000Z,95,1763,254,143,400,455.365,65
2025-10-21T00:00:00.000Z,94,840,318,152,404,191.768,84
2025-10-22T00:00:00.000Z,103,385,231.5,183,290,75.612,90
2025-10-23T00:00:00.000Z,70,262,156,138,162.5,45.687,93
2025-10-24T00:00:00.000Z,72,222,122,101,146,40.457,86
2025-10-25T00:00:00.000Z,79,282,201,122,215,55.19,91
2025-10-26T00:00:00.000Z,62,266,195,175,212,48.855,32
2025-10-27T00:00:00.000Z,102,262,157,130,184,41.172,94
2025-10-28T00:00:00.000Z,84,217,136,105,162,36.08,82
2025-10-29T00:00:00.000Z,88,299,206,166,250,58.608,95
2025-10-30T00:00:00.000Z,68,359,107,101,277,100.547,87
2025-10-31T00:00:00.000Z,73,166,116,95,139,27.508,78
2025-11-01T00:00:00.000Z,119,433,250,182,320,82.999,90
2025-11-02T00:00:00.000Z,88,316,169,144,255,65.492,91
2025-11-03T00:00:00.000Z,81,311,153,144,228,62.134,54
2025-11-04T00:00:00.000Z,45,191,107,70,136,36.718,71
2025-11-05T00:00:00.000Z,39,332,134,58,197,80.85,94
2025-11-06T00:00:00.000Z,58,506,150,78,344,140.726,65
2025-11-07T00:00:00.000Z,116,506,256,151,340,114.301,51
2025-11-08T00:00:00.000Z,151,427,293,213,359,81.482,81
2025-11-09T00:00:00.000Z,101,458,234,178,340,98.594,89
2025-11-10T00:00:00.000Z,206,464,383,322,407,60.834,64
2025-11-11T00:00:00.000Z,147,512,414,228,448,118.683,54
2025-11-12T00:00:00.000Z,147,537,309,248,453,114.235,93
2025-11-13T00:00:00.000Z,238,492,277,252,373,75.365,94
2025-11-14T00:00:00.000Z,186,364,269,201,307,53.788,85
2025-11-15T00:00:00.000Z,144,415,293,204,329,73.465,91
2025-11-16T00:00:00.000Z,92,366,274,157,304,83.828,92
2025-11-17T00:00:00.000Z,112,517,223,158,285,102.104,77
2025-11-18T00:00:00.000Z,219,384,287,260,327.5,45.518,53
2025-11-19T00:00:00.000Z,188,443,356,315,398,77.755,31
