date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,84,120,85,84,120,16.604,11
2025-10-13T00:00:00.000Z,53,234,115,69,134,43.692,71
2025-10-14T00:00:00.000Z,43,245,128,72,151.5,58.914,72
2025-10-15T00:00:00.000Z,52,214,154,101,172,50.84,59
2025-10-16T00:00:00.000Z,65,374,195,108,260,91.026,71
2025-10-17T00:00:00.000Z,84,297,162,119,179,43.279,67
2025-10-18T00:00:00.000Z,73,228,174,158,198,44.203,54
2025-10-19T00:00:00.000Z,107,491,233,174.5,293,89.801,72
2025-10-20T00:00:00.000Z,91,970,307,172,438,273.448,75
2025-10-21T00:00:00.000Z,88,517,221,127,328,121.675,86
2025-10-22T00:00:00.000Z,108,332,211,175,263,63.799,88
2025-10-23T00:00:00.000Z,67,288,207,180,235,56.279,82
2025-10-24T00:00:00.000Z,59,255,155,129,211,60.186,87
2025-10-25T00:00:00.000Z,102,349,241,218,294,71.418,78
2025-10-26T00:00:00.000Z,85,373,216,184,322,80.392,31
2025-10-27T00:00:00.000Z,116,260,145.5,136,193,40.493,82
2025-10-28T00:00:00.000Z,84,200,147,94,175,37.89,73
2025-10-29T00:00:00.000Z,146,320,206,184,296,59.946,92
2025-10-30T00:00:00.000Z,90,355,144,111,312,99.775,83
2025-10-31T00:00:00.000Z,84,202,116,100,171,40.171,84
2025-11-01T00:00:00.000Z,106,423,269,221,321,83.709,62
2025-11-02T00:00:00.000Z,84,403,183,125,224,93.959,59
2025-11-03T00:00:00.000Z,160,328,284,212,299,53.376,53
2025-11-04T00:00:00.000Z,57,174,93,80,112,23.501,54
2025-11-05T00:00:00.000Z,45,387,132,84,227,96.676,71
2025-11-06T00:00:00.000Z,59,516,177,80,345.5,149.131,48
2025-11-07T00:00:00.000Z,83,516,222,111,342,126.403,46
2025-11-08T00:00:00.000Z,184,504,284,207,370,97.258,74
2025-11-09T00:00:00.000Z,80,451,281,157,412,122.233,86
2025-11-10T00:00:00.000Z,190,606,399,364,489,92.11,55
2025-11-11T00:00:00.000Z,153,599,506,321,558,137.814,43
2025-11-12T00:00:00.000Z,175,555,362,237.5,443,120.67,84
2025-11-13T00:00:00.000Z,169,526,311,249,368,102.094,94
2025-11-14T00:00:00.000Z,119,477,294,222,351,92.614,85
2025-11-15T00:00:00.000Z,111,527,316,206,432,123.482,90
2025-11-16T00:00:00.000Z,100,469,305,180,370,109.665,95
2025-11-17T00:00:00.000Z,102,541,277,186,469,144.679,78
2025-11-18T00:00:00.000Z,153,494,382,339,423,76.374,39
2025-11-19T00:00:00.000Z,156,571,525,277,552,157.646,31
