date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,62.1,71.1,65.4,63.3,67.5,2.711,16
2025-10-13T00:00:00.000Z,38.9,100.6,69.25,50.85,81.5,17.43,92
2025-10-14T00:00:00.000Z,43.5,96.7,63.2,47.25,82.5,17.833,81
2025-10-15T00:00:00.000Z,45.9,109.4,81.4,64.5,100,19.127,82
2025-10-16T00:00:00.000Z,48.2,108.6,84,60.5,95.8,18.994,95
2025-10-17T00:00:00.000Z,64.6,118.6,87.2,74.3,104.3,15.94,83
2025-10-18T00:00:00.000Z,62.5,168.4,104.5,90.5,137,28.187,72
2025-10-19T00:00:00.000Z,89.6,185,139,105.9,161.44,31.256,89
2025-10-20T00:00:00.000Z,76.6,1268.2,182.4,103.3,500,360.962,90
2025-10-21T00:00:00.000Z,81.1,591.6,195,109.8,294,147.241,84
2025-10-22T00:00:00.000Z,107.7,203.9,173.25,137.19,185.5,29.456,86
2025-10-23T00:00:00.000Z,119.6,135.5,124,122,130.69,5.151,35
2025-10-24T00:00:00.000Z,20,237.3,167.7,111.1,225.8,58.109,60
2025-10-25T00:00:00.000Z,140.5,294.4,233,173.65,244,44.353,85
2025-10-26T00:00:00.000Z,127.7,264,214.6,181.5,226.65,36.06,33
2025-10-27T00:00:00.000Z,224,245.6,231.6,224,239.05,7.903,5
2025-10-30T00:00:00.000Z,133.3,141.9,137.6,133.3,141.9,4.3,2
2025-10-31T00:00:00.000Z,77.1,162.4,145.5,115.45,153.3,25.411,16
2025-11-01T00:00:00.000Z,153.3,313.9,268.9,243.8,289.2,45.644,23
2025-11-02T00:00:00.000Z,105.9,386.3,173.6,126,268.8,94.589,23
2025-11-03T00:00:00.000Z,126.4,183.9,166.2,152.4,173.9,17.597,14
2025-11-04T00:00:00.000Z,59.8,171.7,90.9,77.5,123.7,31.386,19
2025-11-05T00:00:00.000Z,76.5,421.1,108.65,93.9,150.4,94.063,22
2025-11-06T00:00:00.000Z,88,452,145.6,99.9,277.6,113.443,19
2025-11-07T00:00:00.000Z,57.9,500.8,193.65,101.85,370.1,145.502,20
2025-11-08T00:00:00.000Z,155.7,433,202.1,178.9,381.2,100.962,23
2025-11-09T00:00:00.000Z,80.4,356.8,206.3,150.8,303.1,85.967,23
2025-11-10T00:00:00.000Z,159.5,511.9,324.35,232.4,454.2,111.984,18
2025-11-11T00:00:00.000Z,194.5,563.2,437.3,245.7,515.9,131.831,19
2025-11-12T00:00:00.000Z,146.7,882.6,375.15,289.4,503.1,151.42,22
2025-11-13T00:00:00.000Z,184.3,452.9,250.8,235.4,438.1,95.328,23
2025-11-14T00:00:00.000Z,156.2,290,223.55,200,256.6,39.726,22
2025-11-15T00:00:00.000Z,132.7,391.1,251.8,168.6,291.8,78.729,23
2025-11-16T00:00:00.000Z,115.6,349.4,237.6,145.4,289.3,73.814,23
2025-11-17T00:00:00.000Z,91.2,454.4,219.5,158.2,320.7,96.74,23
2025-11-18T00:00:00.000Z,162.8,353.2,283.1,222.4,317.5,61.145,18
2025-11-19T00:00:00.000Z,168.1,456,346.85,274.7,416.95,88.872,12
