date,min,max,median,q1,q3,stdev,count
2020-02-21T00:00:00.000Z,0.14,6.32,1.08,0.53,1.92,1.663,426
2020-02-22T00:00:00.000Z,0,1.82,0.34,0.12,0.65,0.321,452
2020-02-23T00:00:00.000Z,0.08,2,0.38,0.25,0.81,0.44,448
2020-02-24T00:00:00.000Z,0.1,7.5,0.6,0.42,1.1,0.694,527
2020-02-25T00:00:00.000Z,0.15,2.62,0.6,0.43,1.28,0.591,463
2020-02-26T00:00:00.000Z,0.13,1.66,0.3,0.25,0.38,0.154,409
2020-02-27T00:00:00.000Z,0.14,1.52,0.6,0.35,0.8,0.274,552
2020-02-28T00:00:00.000Z,0.3,2.86,0.63,0.5,0.88,0.488,555
2020-02-29T00:00:00.000Z,0.42,5.94,1.32,0.98,2.54,1.31,566
2020-03-01T00:00:00.000Z,0.45,10.36,1.2,0.95,1.58,1.475,566
2020-03-02T00:00:00.000Z,0.55,3.08,1.25,1.06,1.5,0.534,490
2020-03-03T00:00:00.000Z,1.08,8.57,3.5,2.84,4.84,1.544,407
2020-03-04T00:00:00.000Z,0.03,9.9,0.55,0.35,0.94,2.249,568
2020-03-05T00:00:00.000Z,0.25,6.25,0.68,0.56,0.9,0.878,565
2020-03-06T00:00:00.000Z,0.14,3.47,0.9,0.6,1.2,0.58,567
2020-03-07T00:00:00.000Z,1.2,10.03,4.43,3.41,5.22,1.541,576
2020-03-08T00:00:00.000Z,3.18,11.3,6.75,6.1,7.6,1.596,578
2020-03-09T00:00:00.000Z,0.53,9.06,4.2,1.98,6.4,2.344,571
2020-03-10T00:00:00.000Z,0.65,8.18,3.49,2.48,5.14,1.836,574
2020-03-11T00:00:00.000Z,0.04,3.57,1.32,0.4,1.88,0.896,577
2020-03-12T00:00:00.000Z,0.1,1.85,0.75,0.52,1.08,0.362,515
2020-03-13T00:00:00.000Z,0.05,1.46,0.36,0.25,0.53,0.21,534
2020-03-14T00:00:00.000Z,0,9.65,0.25,0.16,0.5,0.838,537
2020-03-15T00:00:00.000Z,1.12,3.15,2.08,1.72,2.4,0.471,290
2020-03-16T00:00:00.000Z,0.1,4.36,0.6,0.45,1.21,0.949,580
2020-03-17T00:00:00.000Z,0.4,2.22,0.93,0.68,1.42,0.469,576
2020-03-18T00:00:00.000Z,0.02,2.22,0.66,0.4,1.58,0.613,506
2020-03-19T00:00:00.000Z,0.18,9.52,0.64,0.49,0.8,0.928,564
2020-03-20T00:00:00.000Z,0.2,5.18,0.7,0.49,1.12,0.757,479
2020-03-21T00:00:00.000Z,0.1,12.04,0.4,0.3,0.57,0.861,495
2020-03-22T00:00:00.000Z,0.2,2.75,0.55,0.39,0.84,0.331,475
2020-03-23T00:00:00.000Z,0.25,2.4,0.6,0.4,0.77,0.298,472
2020-03-24T00:00:00.000Z,0.7,4.57,1.38,1.17,1.75,0.408,481
2020-03-25T00:00:00.000Z,1,4.45,2.38,2.04,2.95,0.666,469
2020-03-26T00:00:00.000Z,2.06,8.8,5,4.55,5.72,1.122,450
2020-03-27T00:00:00.000Z,3.72,7.08,5.53,4.9,5.88,0.681,407
2020-03-28T00:00:00.000Z,0.1,0.95,0.42,0.3,0.55,0.172,183
2020-03-29T00:00:00.000Z,0.05,2.65,0.3,0.22,0.45,0.354,300
2020-03-30T00:00:00.000Z,0.1,0.76,0.3,0.23,0.4,0.124,139
2020-03-31T00:00:00.000Z,0.15,2.4,0.4,0.3,0.5,0.207,310
2020-04-01T00:00:00.000Z,0.03,1.87,0.48,0.3,0.7,0.331,172
2020-04-02T00:00:00.000Z,0,2.35,0.69,0.46,1.05,0.429,396
2020-04-03T00:00:00.000Z,0.05,1.35,0.3,0.24,0.4,0.174,447
2020-04-04T00:00:00.000Z,0.15,9.57,0.36,0.3,0.53,0.646,517
2020-04-05T00:00:00.000Z,0.2,16.02,0.75,0.48,2.31,1.785,529
2020-04-06T00:00:00.000Z,1.45,9.93,3.75,2.72,5.79,2.045,476
2020-04-07T00:00:00.000Z,0.75,17.93,5.78,1.47,7.05,4.108,391
2020-04-08T00:00:00.000Z,0.86,2.48,1.35,1.21,1.54,0.294,435
2020-04-09T00:00:00.000Z,0.1,8.41,0.4,0.25,0.6,0.661,450
2020-04-10T00:00:00.000Z,0,2.04,0.2,0.13,0.42,0.38,499
2020-04-11T00:00:00.000Z,0.2,2.06,1.01,0.57,1.42,0.474,151
2020-04-12T00:00:00.000Z,0,7.98,1.25,0.74,2.78,1.882,591
2020-04-13T00:00:00.000Z,0,0.8,0.34,0.22,0.42,0.138,584
2020-04-14T00:00:00.000Z,0.1,2.92,0.45,0.27,0.57,0.26,570
2020-04-15T00:00:00.000Z,0,1.68,0.37,0.23,0.55,0.359,523
2020-04-16T00:00:00.000Z,0.05,1.21,0.28,0.2,0.43,0.185,510
2020-04-17T00:00:00.000Z,0.08,0.91,0.35,0.25,0.44,0.131,574
2020-04-18T00:00:00.000Z,0.05,1.98,0.4,0.3,0.51,0.275,582
2020-04-19T00:00:00.000Z,0.12,2.87,0.35,0.27,0.61,0.472,569
2020-04-20T00:00:00.000Z,0.2,1.14,0.5,0.4,0.6,0.161,513
2020-04-21T00:00:00.000Z,0.25,1.84,0.64,0.47,0.85,0.259,389
2020-04-22T00:00:00.000Z,0.3,10.84,0.57,0.46,0.72,0.546,426
2020-04-23T00:00:00.000Z,0.25,1.2,0.59,0.47,0.7,0.158,484
2020-04-24T00:00:00.000Z,0.05,1,0.22,0.15,0.38,0.165,552
2020-04-25T00:00:00.000Z,0.05,0.73,0.25,0.15,0.3,0.105,511
2020-04-26T00:00:00.000Z,0,2.96,0.57,0.4,0.83,0.407,563
2020-04-27T00:00:00.000Z,0.26,2.48,0.7,0.55,1.14,0.566,538
2020-04-28T00:00:00.000Z,0.25,1.45,0.64,0.45,0.85,0.269,408
2020-04-29T00:00:00.000Z,0.32,6.18,0.82,0.7,1.15,0.561,518
2020-04-30T00:00:00.000Z,0.75,4.3,1.85,1.38,2.35,0.763,542
2020-05-01T00:00:00.000Z,1.03,7.48,3.07,2.24,5.93,1.873,556
2020-05-02T00:00:00.000Z,0.23,5.76,0.63,0.5,0.95,1.107,542
2020-05-03T00:00:00.000Z,0.2,4.43,0.82,0.6,1.34,0.556,571
2020-05-04T00:00:00.000Z,0.15,2.42,0.54,0.4,0.79,0.551,536
2020-05-05T00:00:00.000Z,0.13,2.2,0.4,0.3,0.9,0.497,500
2020-05-06T00:00:00.000Z,0.15,2.16,0.55,0.43,0.72,0.32,588
2020-05-07T00:00:00.000Z,0.15,3.74,0.48,0.35,0.6,0.478,383
2020-05-08T00:00:00.000Z,0.5,2.63,1.32,0.9,1.89,0.546,352
2020-05-09T00:00:00.000Z,0.1,1.92,0.38,0.24,0.5,0.27,339
2020-05-10T00:00:00.000Z,0.2,5.14,1.62,1.1,3.06,1.315,251
2020-05-11T00:00:00.000Z,0.05,0.72,0.3,0.2,0.4,0.123,351
2020-05-12T00:00:00.000Z,0.05,2.33,0.3,0.2,0.42,0.364,461
2020-05-13T00:00:00.000Z,0,1.38,0.33,0.2,0.5,0.264,468
2020-05-14T00:00:00.000Z,0.15,2.13,0.46,0.36,0.65,0.29,455
2020-05-15T00:00:00.000Z,0.1,1.1,0.4,0.3,0.51,0.161,532
2020-05-16T00:00:00.000Z,0.08,9.35,0.35,0.3,0.45,0.852,336
2020-05-17T00:00:00.000Z,0,1,0.25,0.14,0.5,0.235,540
2020-05-18T00:00:00.000Z,0,1.32,0.2,0.1,0.36,0.278,471
2020-05-19T00:00:00.000Z,0.15,2.13,0.46,0.35,0.7,0.41,546
2020-05-20T00:00:00.000Z,0.2,1.9,0.45,0.37,0.6,0.202,555
2020-05-21T00:00:00.000Z,0.2,1.75,0.68,0.45,0.95,0.331,514
2020-05-22T00:00:00.000Z,0.25,1.95,1.2,0.88,1.46,0.371,551
2020-05-23T00:00:00.000Z,0.3,11.87,1.1,0.7,1.99,1.172,500
2020-05-24T00:00:00.000Z,0.5,4.47,1.87,1.3,2.42,0.842,544
2020-05-25T00:00:00.000Z,0.5,4.83,1.4,1.1,2.04,0.871,544
2020-05-26T00:00:00.000Z,0.3,2.93,1.1,0.85,1.37,0.451,504
2020-05-27T00:00:00.000Z,0.6,3.4,1.1,0.9,1.4,0.361,535
2020-05-28T00:00:00.000Z,0,2.1,0.4,0.3,0.73,0.409,548
2020-05-29T00:00:00.000Z,0.2,1.9,0.47,0.4,0.9,0.341,549
2020-05-30T00:00:00.000Z,0,1.37,0.3,0.2,0.43,0.255,564
2020-05-31T00:00:00.000Z,0,1.75,0.2,0.2,0.3,0.143,501
2020-06-01T00:00:00.000Z,0.1,9.07,0.7,0.52,1,0.66,470
2020-06-02T00:00:00.000Z,0.37,2.6,0.9,0.7,1.1,0.379,538
2020-06-03T00:00:00.000Z,0.5,4.2,1.2,0.9,1.9,0.757,454
2020-06-04T00:00:00.000Z,0.93,4.03,2.2,1.63,2.8,0.76,542
2020-06-05T00:00:00.000Z,1.53,4.87,2.8,2.29,3.3,0.672,446
2020-06-06T00:00:00.000Z,0.1,3.93,0.8,0.47,1.5,0.934,489
2020-06-07T00:00:00.000Z,0.3,2.47,0.8,0.7,1,0.258,551
2020-06-08T00:00:00.000Z,0.4,2.13,1,0.8,1.5,0.411,542
2020-06-09T00:00:00.000Z,0.5,3.4,1.2,0.98,1.87,0.67,499
2020-06-10T00:00:00.000Z,0.2,1.35,0.4,0.3,0.5,0.143,539
2020-06-11T00:00:00.000Z,0.1,4.7,0.4,0.3,0.5,0.263,564
2020-06-12T00:00:00.000Z,0.4,2.43,1.33,1.12,1.62,0.408,573
2020-06-13T00:00:00.000Z,0.4,3.3,0.9,0.73,1.2,0.398,547
2020-06-14T00:00:00.000Z,0.3,3.63,0.95,0.6,1.2,0.427,339
2020-06-15T00:00:00.000Z,0.52,2.78,1.1,0.9,1.3,0.334,564
2020-06-16T00:00:00.000Z,0.93,4.3,1.92,1.43,3,0.874,568
2020-06-17T00:00:00.000Z,1.45,7.73,2.89,2.29,3.57,1.039,548
2020-06-18T00:00:00.000Z,1.73,5.87,2.77,2.4,3.2,0.784,501
2020-06-19T00:00:00.000Z,1.27,5.63,2.83,2.12,3.35,0.952,487
2020-06-20T00:00:00.000Z,0.56,6.53,3.6,1.9,4.67,1.608,579
2020-06-21T00:00:00.000Z,0.5,2.23,1.23,1,1.43,0.328,583
2020-06-22T00:00:00.000Z,0.8,2.25,1.37,1.19,1.5,0.246,552
2020-06-23T00:00:00.000Z,0.8,4.59,1.7,1.5,1.9,0.418,568
2020-06-24T00:00:00.000Z,1.6,5.17,2.35,2.12,2.6,0.409,586
2020-06-25T00:00:00.000Z,1,9.69,2.9,2,3.39,0.805,565
2020-06-26T00:00:00.000Z,1.6,5.27,2.6,2.29,2.87,0.627,560
2020-06-27T00:00:00.000Z,2.1,5.33,3,2.69,3.7,0.833,520
2020-06-28T00:00:00.000Z,3,6.87,4.07,3.77,4.5,0.675,447
2020-06-29T00:00:00.000Z,0.5,7.8,1.67,0.9,3.5,1.821,482
2020-06-30T00:00:00.000Z,0.2,2.47,1,0.8,1.3,0.469,471
2020-07-01T00:00:00.000Z,0.3,1.4,0.77,0.6,0.9,0.2,458
2020-07-02T00:00:00.000Z,0.2,2.13,0.77,0.6,0.9,0.279,455
2020-07-03T00:00:00.000Z,0.1,5.23,0.4,0.3,0.6,0.399,470
2020-07-04T00:00:00.000Z,0.1,1.37,0.6,0.4,0.77,0.241,491
2020-07-05T00:00:00.000Z,0.37,5.47,0.97,0.7,1.4,0.808,471
2020-07-06T00:00:00.000Z,0.2,1.5,0.6,0.43,0.7,0.187,279
2020-07-07T00:00:00.000Z,0,0.7,0.23,0.2,0.3,0.117,427
2020-07-08T00:00:00.000Z,0.07,2.97,0.3,0.2,0.37,0.182,440
2020-07-09T00:00:00.000Z,0.1,1.2,0.27,0.2,0.4,0.162,476
2020-07-10T00:00:00.000Z,0.3,1.9,0.73,0.6,0.9,0.26,416
2020-07-11T00:00:00.000Z,0.2,2.1,0.73,0.5,1.1,0.436,329
2020-07-12T00:00:00.000Z,0.1,0.9,0.4,0.3,0.5,0.132,399
2020-07-13T00:00:00.000Z,0.1,2.04,0.53,0.4,0.82,0.383,389
2020-07-14T00:00:00.000Z,0.6,2.06,1.2,1,1.39,0.255,437
2020-07-15T00:00:00.000Z,0.7,3.23,1.23,1,1.95,0.589,353
2020-07-16T00:00:00.000Z,0.8,6.33,1.7,1.29,4,1.501,320
2020-07-17T00:00:00.000Z,0.6,3.9,1.2,1,1.37,0.293,487
2020-07-18T00:00:00.000Z,0.7,5.57,1.3,1.1,1.7,0.671,455
2020-07-19T00:00:00.000Z,0.8,4.9,3.4,1.54,4,1.242,156
2020-07-20T00:00:00.000Z,0.5,9.63,1.85,1.2,2.87,1.403,168
2020-07-21T00:00:00.000Z,0,1.17,0.39,0.2,0.6,0.222,266
2020-07-22T00:00:00.000Z,0,0.7,0.1,0.1,0.2,0.106,272
2020-07-23T00:00:00.000Z,0,0.83,0.1,0.03,0.1,0.08,305
2020-07-24T00:00:00.000Z,0,0.93,0.2,0.1,0.2,0.106,389
2020-07-25T00:00:00.000Z,0,1.77,0.1,0.1,1.12,0.577,83
2020-07-26T00:00:00.000Z,0.2,1.7,0.6,0.4,1.1,0.365,450
2020-07-27T00:00:00.000Z,0.85,3.33,1.8,1.32,2.2,0.529,281
2020-07-28T00:00:00.000Z,0.77,6.67,1.93,1.33,3.5,1.423,428
2020-07-29T00:00:00.000Z,0.2,2,0.73,0.5,1.37,0.458,335
2020-07-30T00:00:00.000Z,0.3,4.4,0.9,0.6,1.6,0.899,374
2020-07-31T00:00:00.000Z,0.5,4.23,1.9,1,2.7,1.008,364
2020-08-01T00:00:00.000Z,1.1,4.83,2,1.54,3.6,1.127,364
2020-08-02T00:00:00.000Z,0.5,3.73,2,1.4,2.93,0.85,331
2020-08-03T00:00:00.000Z,0.2,30.57,0.83,0.4,1.3,1.671,349
2020-08-04T00:00:00.000Z,0,1.1,0.2,0.1,0.4,0.192,405
2020-08-05T00:00:00.000Z,0.2,1.5,0.6,0.5,0.8,0.235,435
2020-08-06T00:00:00.000Z,0.62,4.4,1.27,1,1.72,0.824,341
2020-08-07T00:00:00.000Z,0.3,4.26,1.73,1.33,2.74,0.984,432
